Haukivuori,454,Mercury,9:48,mondey
Pung-Pang,595,Lexus,22:29,Tuesday
Dong’ao,778,Ford,15:12,Wednesday
Massy,912,Volvo,4:35,Thursday
Ţūbās,780,Chevrolet,9:14,Friday
Mallawī,93,Mitsubishi,9:03,Saturday
Portela,95,Chevrolet,14:19,Sunday
Maria Aurora,2430,Lexus,19:50,Monday
Balkh,52430,Chevrolet,0:40,Tuesday
Duoxiang,2936,Acura,22:40,Wednesday
Kongolo,1367,Volkswagen,16:15,Thursday
Hněvotín,50,Buick,0:23,Friday
Guadalupe,8,Dodge,3:08,Saturday
Sosnovka,46548,Acura,7:12,Sunday
Zhaozhen,70231,Hyundai,0:01,Monday
Tingsryd,9,Mazda,9:32,Tuesday
Podstrana,5,Chevrolet,18:34,Wednesday
Umeå,99,Land Rover,13:24,Thursday
Rassvet,7,GMC,20:38,Friday
Nhơn Trạch,4,GMC,16:03,Saturday
